motif_id,num_instances,avg_distance,total_points,Ore_mean,Ore_std,Ore_min,Ore_max,WaterMill_mean,WaterMill_std,WaterMill_min,WaterMill_max,WaterZumpf_mean,WaterZumpf_std,WaterZumpf_min,WaterZumpf_max,DensityHC_mean,DensityHC_std,DensityHC_min,DensityHC_max
1,2,0.0,120,169.672,0.0,169.672,169.672,15.793200000000006,5.329070518200751e-15,15.7932,15.7932,226.2640000000001,8.526512829121202e-14,226.264,226.264,,,,
2,18,2.551860019944171,1080,175.89494595711363,3.2102565573615363,167.86499999999998,180.448,15.947874780491587,0.8221304041075334,13.482886230442766,16.73841730802718,209.99633982804804,19.497985860555534,139.79111562661973,239.28129269841267,,,,
3,14,3.162097577266007,840,176.527091931129,3.165871615079143,166.501095877193,180.34096571428572,15.817556997820791,0.9855736489031195,13.253504716633055,16.738250007517294,220.8857639166792,17.649635558277968,141.03408853862368,239.75336174603174,,,,
4,8,3.0335273990183182,480,175.73863325343584,4.89144901072482,168.11798055555556,184.0134205128205,16.05413677507972,0.6562776131381362,13.585057142458064,17.04291810641964,217.08624714481908,29.751021349449406,139.3079013465482,241.56925185185185,,,,
5,7,2.971330447625944,420,176.93857810186205,3.5986503522421263,168.13038535353536,182.03634388866035,16.129727177643513,0.5623056491975305,14.198652627744536,16.938503731917034,189.28080882898772,28.46242212128472,133.1847345882253,236.39397793650792,,,,
6,4,3.2255034876417543,240,177.6591630230793,2.583250561325943,172.14352,179.9565022222222,14.982704156238334,1.428000967768304,13.217869011107217,16.50688415786512,218.7241469399736,13.816239980842655,204.7893261111111,235.18522298941798,,,,
7,3,2.607860656523273,180,178.0185530047274,1.5936775972275534,175.65,180.42801073593077,15.570035096097804,1.2552625245125086,13.601794485533816,16.73407308535694,202.17145052132724,14.596587552789808,178.87672385521884,218.90180221860984,,,,
8,1,5.681896688508004,60,177.13700000000003,1.759699408031822e-14,177.137,177.13700000000003,14.227353354596115,0.03895999864232534,14.184128596740031,14.30488193769217,223.99519198838198,0.18747563010205853,223.6538934199134,224.39552116402118,,,,
9,5,3.0519610788711184,300,175.83902221619454,11.398365234791267,116.25025702861953,180.29910476190474,16.316705036693886,0.4710501548795243,13.712893802901734,16.67143507466302,219.0852889767887,16.082619647037838,164.83070077992812,237.79966682539683,,,,
10,4,3.7386539821855873,240,182.53270994889013,2.5138618326115223,179.80418736842103,185.35409735449736,16.827241595396593,0.33569523810627744,16.330420936392112,17.216811148103137,198.8214075443583,31.088288774277256,151.6733927492488,234.2462344636845,,,,
11,1,3.1064543341310944e-06,60,169.88025314840556,0.07411426570025831,169.7313471436776,169.99379777777776,15.711215812681711,0.015251009114779767,15.687404159640948,15.738882103727997,224.74042106862274,1.2695720633013046,222.86136250601248,225.93200065416065,,,,
