motif_id,num_points,Ore_mean,Ore_std,Ore_min,Ore_max,Ore_range,WaterMill_mean,WaterMill_std,WaterMill_min,WaterMill_max,WaterMill_range,WaterZumpf_mean,WaterZumpf_std,WaterZumpf_min,WaterZumpf_max,WaterZumpf_range,DensityHC_mean,DensityHC_std,DensityHC_min,DensityHC_max,DensityHC_range,PulpHC_mean,PulpHC_std,PulpHC_min,PulpHC_max,PulpHC_range,PressureHC_mean,PressureHC_std,PressureHC_min,PressureHC_max,PressureHC_range,CirculativeLoad_mean,CirculativeLoad_std,CirculativeLoad_min,CirculativeLoad_max,CirculativeLoad_range
1,120,169.672,0.0,169.672,169.672,0.0,15.793200000000006,5.351414727386943e-15,15.7932,15.7932,0.0,226.2640000000001,8.562263563819109e-14,226.264,226.264,0.0,1640.5447058823522,6.849810851055287e-13,1640.544705882353,1640.544705882353,0.0,537.0198695652173,1.1416351418425479e-13,537.0198695652174,537.0198695652174,0.0,0.39393548387096783,1.1148780682056131e-16,0.3939354838709677,0.3939354838709677,0.0,2.0943826595788906,0.0,2.0943826595788906,2.0943826595788906,0.0
2,1080,175.89494595711363,3.2117438201503146,167.86499999999998,180.448,12.583000000000027,15.947874780491587,0.8225112845560909,13.482886230442766,16.73841730802718,3.255531077584415,209.99633982804804,19.507018979344757,139.79111562661973,239.28129269841267,99.49017707179294,1672.920466590274,27.985922620091593,1637.7957334489533,1747.058734134199,109.26300068524574,556.7286425636726,22.359716704279887,510.1733543964184,599.9832878950375,89.8099334986191,0.4111229472451815,0.02907727667414539,0.35453058524028097,0.4651877809595129,0.11065719571923194,2.2504990605773534,0.17012148778081326,1.8588214235474918,2.6719773879311632,0.8131559643836714
3,840,176.527091931129,3.167757746682313,166.501095877193,180.34096571428572,13.83986983709272,15.817556997820791,0.9861608242003089,13.253504716633055,16.738250007517294,3.4847452908842396,220.8857639166792,17.660150683165643,141.03408853862368,239.75336174603174,98.71927320740807,1695.7126793298032,34.15243562947603,1647.199824112569,1764.4165298460478,117.21670573347865,570.3913414754047,13.79002315461442,542.983131729436,599.9793469360214,56.996215206585475,0.4045214233722423,0.029816650286132302,0.33826614151673845,0.46054713503784517,0.12228099352110672,2.4327784635457124,0.2072904655355911,2.1173258322781763,2.8775250328352713,0.760199200557095
4,480,175.73863325343584,4.896552245300801,168.11798055555556,184.0134205128205,15.895439957264927,16.05413677507972,0.6569623056698309,13.585057142458064,17.04291810641964,3.4578609639615774,217.08624714481908,29.782060503795773,139.3079013465482,241.56925185185185,102.26135050530365,1670.2024500444397,14.035758643505057,1642.3763711711254,1710.6090217583223,68.23265058719699,573.5585489155482,12.8505061772617,549.3828175997622,599.9739719223782,50.59115432261592,0.42807450670493263,0.02000284817519473,0.3982793046484673,0.4648148812263201,0.0665355765778528,2.339024900598737,0.0698145256759741,2.2365012801219697,2.5796738501075835,0.34317256998561385
5,420,176.93857810186205,3.6029421252070377,168.13038535353536,182.03634388866035,13.905958535124995,16.129727177643513,0.5629762584390589,14.198652627744536,16.938503731917034,2.739851104172498,189.28080882898772,28.49636658429706,133.1847345882253,236.39397793650792,103.20924334828263,1665.4750124869965,15.237443384947568,1642.4482110916178,1697.545876290257,55.097665198639106,578.409841870893,10.86167275188178,557.3632176257438,599.9680793509137,42.60486172516994,0.442954672054093,0.013025750930000857,0.4157912113771111,0.4610199970394271,0.04522878566231597,2.3209854164514385,0.09462340796110395,2.1709294740107787,2.513099728191473,0.34217025418069413
6,240,177.6591630230793,2.588649209975881,172.14352,179.9565022222222,7.812982222222217,14.982704156238334,1.43098529906476,13.217869011107217,16.50688415786512,3.2890151467579027,218.7241469399736,13.84511407708267,204.7893261111111,235.18522298941798,30.39589687830687,1686.3380944197627,21.03088903559651,1660.8216454552835,1723.0061128327063,62.184467377422834,551.5709090929985,15.998054339830267,531.222901165319,573.5209276409149,42.298026475595975,0.39373423520918854,0.03240919216771427,0.35877389849934005,0.4362284069973073,0.07745450849796726,2.250066310152242,0.04075928601749729,2.187855697396304,2.3429797066793987,0.15512400928309455
7,180,178.0185530047274,1.5981230105969406,175.65,180.42801073593077,4.7780107359307635,15.570035096097804,1.2587639609500079,13.601794485533816,16.73407308535694,3.132278599823124,202.17145052132724,14.637303357270893,178.87672385521884,218.90180221860984,40.025078363391,1704.607000601994,30.209573484638245,1670.343428115793,1756.555578326033,86.21215021024,573.2036057478167,18.199124874774203,543.663945134324,599.8679100065376,56.203964872213646,0.41003085976225934,0.04106426320863089,0.3572898785844746,0.46146369636800055,0.10417381778352597,2.459245289369669,0.08743981165462834,2.353183727778287,2.6651696945885317,0.3119859668102447
8,60,177.13700000000003,1.7745494553411977e-14,177.137,177.13700000000003,2.842170943040401e-14,14.227353354596115,0.03928878083113044,14.184128596740031,14.30488193769217,0.12075334095213819,223.99519198838198,0.1890577309788693,223.6538934199134,224.39552116402118,0.7416277441077739,1679.9276735868918,0.633908410584769,1679.1046710406151,1681.0311531772027,1.9264821365875378,566.1454143518237,0.5908232580586584,565.225485130239,567.595904325736,2.370419195496993,0.42265450187271425,0.0004679825786823833,0.42177519994612367,0.42350854987581193,0.001733349929688266,2.3168527579296376,0.006370843550902028,2.307553088820788,2.330323498876564,0.022770410055775958
9,300,175.83902221619454,11.41741013568253,116.25025702861953,180.29910476190474,64.04884773328521,16.316705036693886,0.47183720664788764,13.712893802901734,16.67143507466302,2.958541271761286,219.0852889767887,16.109491210717408,164.83070077992812,237.79966682539683,72.9689660454687,1676.8034552112938,26.8977513406841,1603.6093838193322,1728.330110362044,124.72072654271187,566.9160210942351,14.833839515024335,491.65082015260487,589.1143989326364,97.46357878003153,0.4214591439576889,0.020837905366133107,0.3669020769558321,0.45597455858514235,0.08907248162931025,2.343875893006631,0.2473283058687012,2.124653133298282,3.625606642679111,1.500953509380829
10,240,182.53270994889013,2.5191154680861207,179.80418736842103,185.35409735449736,5.5499099860763295,16.827241595396593,0.33639679631790625,16.330420936392112,17.216811148103137,0.8863902117110243,198.8214075443583,31.153259145612036,151.6733927492488,234.2462344636845,82.5728417144357,1680.6600276659053,11.73774973567903,1665.603936415121,1699.7608477384788,34.15691132335769,583.5341497226233,7.236987254861443,564.936794008224,592.3288003106697,27.392006302445793,0.43694127344491196,0.022631055834685047,0.4087047645334855,0.46039163059440597,0.05168686606092049,2.32160048372045,0.07299958624861744,2.2240112008174564,2.4699110035056027,0.24589980268814626
11,60,169.88025314840556,0.07473971363012916,169.7313471436776,169.99379777777776,0.262450634100162,15.711215812681711,0.015379711895400409,15.687404159640948,15.738882103727997,0.051477944087048755,224.74042106862274,1.2802859415447327,222.86136250601248,225.93200065416065,3.070638148148163,1666.7393335526897,0.9076361632304695,1664.8758190012707,1668.4703832525097,3.594564251239035,559.3637200150696,0.7579355274029137,557.4915670513437,561.3246816289917,3.8331145776479616,0.40966153352384865,0.0005028775248141345,0.4087919986027799,0.41052032386964366,0.0017283252668637283,2.350830618769874,0.008437012485850569,2.333198513121023,2.371713760806432,0.038515247685408927
12,180,179.7722620124402,3.56413254262624,175.01950222222226,185.00028306138304,9.980780839160786,16.636766421548142,0.32336466986890666,16.112199295748354,17.147154006162804,1.0349547104144499,173.8130644365547,30.812652039304126,127.76009152625153,210.3180362073112,82.55794468105967,1658.412934418589,12.712425856662735,1640.1056192176322,1683.938604271273,43.83298505364087,554.1621287483407,28.439701478797183,518.0118355194859,591.3061784058951,73.29434288640925,0.43395190722330523,0.029214224784670315,0.39233485170864413,0.46037442635219755,0.06803957464355342,2.097144493605116,0.14491295057499112,1.9088608773641866,2.358302534790992,0.4494416574268054
13,60,176.81566677103996,11.776480461875655,117.71333182503771,180.2927194638695,62.57938763883179,16.534630262026813,0.35997133892544253,14.619432432399883,16.706837565886655,2.0874051334867723,210.14967320845142,0.13599708515319076,209.84586072390573,210.44603887452416,0.6001781506184329,1660.7570198543015,2.4027499323996993,1656.442255019456,1663.8795993572307,7.437344337774675,523.4523846119455,3.589616196166597,506.95526487169576,526.2759205697033,19.320655698007556,0.39162930506498395,0.006709522976880508,0.3622084373772515,0.3945511226666512,0.03234268528939971,2.0017560775312697,0.24644611451702272,1.8927263322386896,3.3155674194421136,1.422841087203424
14,60,177.04640140151517,0.1297390422604648,176.8688222222222,177.35314444444444,0.4843222222222323,16.348002540746105,0.03742429984533939,16.280787337430862,16.40486650855127,0.12407917112040678,213.86468262779894,1.5962076229612605,210.39696493589742,215.34485999287747,4.947895056980059,1718.8075100000287,2.2975179364755074,1715.891674954689,1723.3778853876986,7.486210433009546,565.66567967882,5.8291736755206145,554.6214338441562,571.9730533463623,17.351619502206177,0.3949621272191663,0.0035723099260201703,0.38767351030512226,0.3986058363142128,0.010932326009090554,2.505393376137625,0.042783534152986906,2.433078866349033,2.5595296082681567,0.12645074191912364
15,60,168.06476963087832,0.14184736386540303,167.80746837606836,168.34275,0.5352816239316383,15.520681712855955,0.018797345576482858,15.485784501906192,15.561547431591807,0.07576292968561482,181.70107753961162,5.98432201134169,173.4175361172161,188.88854722222223,15.471011105006141,1644.4893817377995,1.5200788283000126,1640.8578940514365,1646.1069994704899,5.249105419053421,575.8434581895142,1.11751974072027,573.0165847162178,577.0489321127947,4.032347396576824,0.4494012306548277,0.00023518619445941552,0.44896255972133203,0.44993006794770013,0.0009675082263680967,2.370473291924699,0.015979632195020008,2.3294991602410393,2.388192494184083,0.05869333394304377
16,180,177.0486007208174,2.1694518776292875,174.76485925925925,180.36031936507936,5.595460105820109,16.163801712633322,0.1965970027741844,15.829999939416426,16.372190865740542,0.5421909263241158,217.18345923843444,30.80540127013533,163.7997402641803,240.7814031746032,76.98166291042293,1659.8282601645235,10.266549209331417,1645.6154627786677,1674.6847177434727,29.06925496480494,576.8926345075934,14.675281115812634,558.2561029883232,599.6722269561702,41.41612396784706,0.4371342265087276,0.01663382036171936,0.4178428971721447,0.4599121711822799,0.042069274010135216,2.282096898561995,0.10808146547867217,2.1491294813029618,2.470664207801888,0.3215347264989261
17,300,175.51968374381642,4.003881038528554,170.00368432695618,180.1980974025974,10.194413075641222,15.568199541468081,0.862218065151697,13.880350570424381,16.428245990660326,2.5478954202359443,208.9791927994835,35.660586964539924,130.69378794770043,238.06598722222222,107.37219927452179,1668.8391628377667,28.952190498058084,1639.4938498945671,1730.4903567742645,90.99650687969734,557.769193429033,10.10344265491484,532.9430617010854,573.2319044432164,40.28884274213101,0.4126630285264631,0.026392497910531318,0.3631631120701735,0.4444403111823715,0.081277199112198,2.2424535035787896,0.08004610035147283,2.1123499343956715,2.3914709593837107,0.27912102498803915
18,60,176.81306558767156,0.17186264069599158,176.59999999999997,177.15265185185183,0.5526518518518628,14.283394190756306,0.04269507257579581,14.20413320291376,14.352274760737584,0.1481415578238252,224.06062005419582,0.1278559080610989,223.76943769841267,224.30768053391054,0.5382428354978686,1680.127877901449,1.453718971040822,1677.0334070912577,1682.0367687441644,5.003361652906733,568.2313370378229,0.9733858668153759,566.1762494941717,569.6099768506076,3.433727356435952,0.42046193239918495,0.0005432148024955366,0.4191072747414132,0.42198865774012784,0.0028813829987146544,2.3361609717124505,0.011626755525348685,2.3080593767395,2.3511514211233413,0.04309204438384118
19,60,177.9890533756613,0.15328011752187734,177.74586611111107,178.33310277777775,0.5872366666666835,16.498379535761863,0.024355857826197588,16.452773010160765,16.537668814357154,0.08489580419638898,229.93672969356257,0.11408476514755908,229.68155555555555,230.15766722222222,0.47611166666666804,1660.1899128981931,0.5217762048789125,1659.476946332208,1661.5042735980537,2.02732726584577,557.0456815278261,0.43089166515541394,556.3105040137178,558.2944096369125,1.983905623194687,0.41310098396483774,0.0013786557719720745,0.4104197024998132,0.4151114060508315,0.004691703551018334,2.1536352045996527,0.005942964868888976,2.143413024821428,2.1683209005789554,0.02490787575752762
20,60,179.76611786856662,0.1603393330796164,179.56217314814813,180.2891378787879,0.7269647306397644,16.350634636299908,0.019355021806474804,16.310252766382174,16.38320253875003,0.07294977236785627,240.41747520238093,0.6389893136323196,239.31648388888888,241.30847555555556,1.991991666666678,1668.6576343475303,0.8032619559518578,1667.136748682604,1669.9876498834499,2.850901200845783,578.3907634814802,1.842229042609084,574.6827752822006,580.2638617179516,5.58108643575099,0.4352056691222435,0.0011190915312797806,0.43320404995161255,0.43766218516638744,0.004458135214774894,2.283694975590559,0.01309339731333301,2.256469072756617,2.298141549394994,0.041672476638377365
21,540,175.22034060239443,2.574802395008108,167.86499999999998,179.03170232434235,11.166702324342367,15.593669419877113,0.9995965323889575,13.482886230442766,16.44285839028992,2.9599721598471547,215.7535015769868,10.383355305479979,199.756451984127,239.28129269841267,39.52484071428566,1680.1372732317914,32.056189910443344,1637.7957334489533,1747.058734134199,109.26300068524574,545.4358603158944,21.128058850241526,510.1733543964184,581.1504063946247,70.97705199820632,0.3956424335705037,0.021333551335705102,0.35453058524028097,0.4297376544680768,0.07520706922779585,2.23324441510363,0.2185736151019799,1.8588214235474918,2.6719773879311632,0.8131559643836714
22,180,174.1498036391955,3.395384082746765,169.62015384615387,180.2525299145299,10.632376068376033,16.055167433359884,0.28273943198198165,15.707542658936013,16.592601523806326,0.885058864870313,233.0803023640118,5.757064657831208,225.93044790764787,241.43342857142858,15.502980663780704,1668.65192232781,7.391465757191715,1655.5278765666699,1678.2280922468135,22.70021568014363,568.049964936824,9.093416518743,553.2770817753042,578.6244459214361,25.347364146131895,0.4117533195096379,0.010484783450188983,0.3982793046484673,0.4267949870674907,0.028515682419023414,2.3291639523810534,0.03726350804598819,2.2517155321681965,2.395217847221807,0.14350231505361055
23,240,177.19630561423222,2.1766423656487683,171.84044882154882,180.146,8.305551178451168,15.282345191341342,1.2243165136742808,13.253504716633055,16.4478238035677,3.1943190869346463,222.10621365649862,16.15001048955443,199.89950271765272,239.25493666666668,39.35543394901396,1711.0156675373858,44.701051769121406,1657.6796694600062,1764.4165298460478,106.7368603860416,569.0726736557282,7.485989318257746,549.949305798563,578.9341097289451,28.9848039303821,0.394326585203304,0.039893006518976634,0.33826614151673845,0.4384461380165839,0.10017999649984544,2.486125512658955,0.23476717090684251,2.223990499745785,2.8775250328352713,0.6535345330894864
24,240,177.31462392211918,2.527614349750397,172.14352,180.29624761904762,8.152727619047624,14.652943199519841,1.315559134392835,13.217869011107217,16.690708546461547,3.47283953535433,205.76063639559936,12.443053517905327,187.2935273005698,224.29119541125542,36.99766811068562,1685.475518964038,24.861239107606465,1643.6978771929823,1723.0061128327063,79.30823563972399,559.3885772156789,25.477465283501626,531.222901165319,599.9832878950375,68.76038672971856,0.40172385113746073,0.042164927710175874,0.35877389849934005,0.4651877809595129,0.10641388246017286,2.2956503449021937,0.0343794062150567,2.229924267858182,2.3987138277516697,0.16878955989348787
25,180,178.00447475443795,2.2400654939597033,174.76770634920635,180.44926051282053,5.68155416361418,16.264376625961077,0.07318943633892201,16.12507551243922,16.42531132594385,0.3002358135046279,235.2452528445937,1.5348482743440977,232.96701555555555,237.20354444444445,4.236528888888898,1680.4057415705076,3.7830776569572753,1673.1186221104042,1688.6675044815208,15.548882371116633,576.8878310103527,3.186231562719003,571.971475743737,584.8993954139792,12.927919670242204,0.4241998798418371,0.012989691739079812,0.40489836962020676,0.43654215327932355,0.0316437836591168,2.366520602714554,0.06803716590070864,2.275720109675601,2.5087423940316724,0.23302228435607164
26,120,176.9692853411694,1.3006516453953383,173.83401333333333,178.09913333333333,4.265119999999996,16.339356267291386,0.10508415045712938,16.03989050709647,16.4547861197268,0.4148956126303318,217.66852244360732,1.9480753212205597,215.4549099206349,220.10454878306876,4.649638862433875,1702.6408686523148,18.701235522987645,1681.7116748378191,1728.330110362044,46.61843552422488,566.0275837832863,16.887788451598574,546.9375915321663,589.1143989326364,42.176807400470125,0.4036923659841782,0.00953697436714334,0.39209493699119596,0.41648420940952696,0.024389272418331,2.433972524585312,0.21153466713736457,2.19812722744194,2.764083622808342,0.5659563953664022
