motif_id,instance_idx,start,end,length,distance,meta_waterzumpf_cv,meta_ore_cv,meta_watermill_cv,meta_pattern_type
3,2,24952,25012,60,0.912275926763768,,,,
3,3,64986,65046,60,1.2950657969910433,,,,
3,4,187536,187596,60,1.602680571196125,,,,
3,5,67351,67411,60,1.9409199677750788,,,,
3,6,112203,112263,60,2.2059554223453413,,,,
3,7,134758,134818,60,2.3570472520806547,,,,
3,8,130296,130356,60,2.379620787116113,,,,
3,9,65589,65649,60,2.4169262202384503,,,,
3,10,149214,149274,60,2.4541957609957654,,,,
3,11,124670,124730,60,2.4808435532988944,,,,
3,12,135021,135081,60,2.492913142839041,,,,
3,13,196556,196616,60,2.502995929693844,,,,
3,14,82802,82862,60,2.603063535779464,,,,
3,15,43575,43635,60,2.6074419297280644,,,,
3,16,50147,50207,60,2.6599080052043402,,,,
3,17,11670,11730,60,2.681991298043722,,,,
3,18,137412,137472,60,2.719615782387244,,,,
3,19,110083,110143,60,2.796725573444177,,,,
3,20,83176,83236,60,2.8434914740120676,,,,
3,21,157389,157449,60,2.8458601930032557,,,,
3,22,151256,151316,60,2.856738905617686,,,,
3,23,44507,44567,60,2.881557670437424,,,,
3,24,122655,122715,60,2.934431192668906,,,,
3,25,134866,134926,60,2.9356020863224788,,,,
3,26,89888,89948,60,2.9658829643164957,,,,
3,27,107683,107743,60,3.0812458696525638,,,,
3,28,364,424,60,3.104105598880632,,,,
3,29,11206,11266,60,3.1161675900946726,,,,
3,30,121541,121601,60,3.132340558018383,,,,
3,31,129911,129971,60,3.1430203714364278,,,,
3,32,64237,64297,60,3.1558349973848854,,,,
3,33,189223,189283,60,3.1839217572950846,,,,
3,34,78462,78522,60,3.1943050378974394,,,,
3,35,114178,114238,60,3.2693296258607742,,,,
3,36,96882,96942,60,3.2765421847234792,,,,
3,37,40343,40403,60,3.3318050495395104,,,,
3,38,36651,36711,60,3.3657099366054775,,,,
3,39,2903,2963,60,3.3748796195966984,,,,
3,40,157458,157518,60,3.439422392136095,,,,
3,41,142094,142154,60,3.5047864775646147,,,,
3,42,51809,51869,60,3.517318314679911,,,,
3,43,123760,123820,60,3.535557073017989,,,,
3,44,176923,176983,60,3.564081240582329,,,,
3,45,180757,180817,60,3.5751241378564376,,,,
3,46,130360,130420,60,3.6851150468297926,,,,
3,47,81046,81106,60,3.7522859045637085,,,,
3,48,101759,101819,60,3.7676489573653247,,,,
3,49,150514,150574,60,3.787565681684865,,,,
3,50,12739,12799,60,3.7878456198706747,,,,
3,51,167013,167073,60,3.8257834687060814,,,,
3,52,179762,179822,60,3.8303318165263325,,,,
3,53,125174,125234,60,3.867311647314731,,,,
3,54,252976,253036,60,3.8755001166938787,,,,
3,55,72945,73005,60,3.9154041387122054,,,,
3,56,102407,102467,60,3.923434107677924,,,,
3,57,78919,78979,60,3.9537392939488143,,,,
3,58,45698,45758,60,3.9603569626194464,,,,
3,59,71333,71393,60,3.9713943894843977,,,,
3,60,185201,185261,60,3.9792680692104936,,,,
3,61,89152,89212,60,4.014650796011543,,,,
3,62,63612,63672,60,4.017183981168898,,,,
3,63,243146,243206,60,4.019961075943049,,,,
3,64,156688,156748,60,4.036212780087287,,,,
3,65,204510,204570,60,4.038802203338707,,,,
3,66,69634,69694,60,4.040141860399103,,,,
3,67,231531,231591,60,4.072875303001344,,,,
3,68,16820,16880,60,4.086404133543929,,,,
3,69,106299,106359,60,4.124157003733549,,,,
3,70,207575,207635,60,4.125564600143423,,,,
3,71,59157,59217,60,4.148447768577519,,,,
3,72,42621,42681,60,4.192614717361148,,,,
3,73,69258,69318,60,4.276920960674577,,,,
3,74,145147,145207,60,4.314838262776525,,,,
3,75,21760,21820,60,4.3661488366994075,,,,
3,76,133621,133681,60,4.38202917612748,,,,
3,77,243711,243771,60,4.382292635125503,,,,
3,78,210177,210237,60,4.386871252097601,,,,
3,79,236666,236726,60,4.398413506979195,,,,
3,80,180695,180755,60,4.414142346349522,,,,
3,81,81354,81414,60,4.476060260491081,,,,
3,82,164465,164525,60,4.476199822707607,,,,
3,83,52806,52866,60,4.477174620994231,,,,
3,84,165329,165389,60,4.482033430217286,,,,
4,0,134933,134993,60,3.4627169485754526e-07,,,,
4,1,110392,110452,60,0.9262529901384066,,,,
4,2,122488,122548,60,1.4690990549700615,,,,
4,3,130971,131031,60,1.7236502876196407,,,,
4,4,148374,148434,60,1.7936130733077587,,,,
4,5,25201,25261,60,1.9283637268002876,,,,
4,6,179543,179603,60,1.9513524924129373,,,,
4,7,138067,138127,60,2.126288052985279,,,,
4,8,43301,43361,60,2.1292667006707977,,,,
4,9,125348,125408,60,2.174098662509206,,,,
4,10,121996,122056,60,2.199673527449126,,,,
4,11,91544,91604,60,2.2122818824738872,,,,
4,12,66856,66916,60,2.2245132083341708,,,,
4,13,25658,25718,60,2.2454199841242937,,,,
4,14,84523,84583,60,2.374320903399361,,,,
4,15,167302,167362,60,2.3801912678967354,,,,
4,16,25863,25923,60,2.3939640933810913,,,,
4,17,89968,90028,60,2.4119330888262205,,,,
4,18,144391,144451,60,2.417016407026835,,,,
4,19,65069,65129,60,2.4789689196777203,,,,
4,20,65384,65444,60,2.4902351527698117,,,,
4,21,63810,63870,60,2.5541337073329444,,,,
4,22,51871,51931,60,2.5638123468194354,,,,
4,23,165598,165658,60,2.579867335144858,,,,
4,24,112543,112603,60,2.6106789862263624,,,,
