motif_id,pattern_type,instance_idx,density_mean,density_std,density_change,density_range,ore_correlation,watermill_correlation,waterzumpf_correlation,ore_lag,watermill_lag,waterzumpf_lag,ore_cv,watermill_cv,waterzumpf_cv
1,dynamic,0,1725.657309482396,7.912658971515577,8.761533755952541,28.139352849449324,-0.8165402997421336,-0.7473541509297998,-0.5795695554565568,0,0,0,0.018534726802995057,0.027341030845659045,0.027492008644878538
1,dynamic,1,1718.1766731878436,6.813167214560044,-20.07730900403999,28.50959872884573,0.04768418813254632,0.08085956849060605,0.24949740604299803,0,0,0,0.00792137569041053,0.12088701022403103,0.02638000376047355
1,dynamic,2,1764.9452622497838,7.6223795706691355,3.8685969347920945,24.129225529759424,-0.8319011567013297,-0.6811056498760278,-0.6961367046808066,0,0,0,0.012292136802807562,0.016391048082641187,0.01819745125392891
1,dynamic,3,1733.732487433322,8.97974128117921,-15.11309833872133,30.869640264638974,0.016619061780628684,0.24141193150297002,0.31344265819595385,0,0,0,0.021534824983907196,0.024351337224228106,0.03399068975467359
1,dynamic,4,1745.3233575660427,13.5123488814417,-24.466951742949732,47.90852528718892,0.1669004100558249,0.28605440363056245,0.31664675949790183,0,0,0,0.020368323590507442,0.02543160544006397,0.028267803619784315
1,dynamic,5,1752.3054414405935,21.732472833267636,57.527299709748604,68.40207237640402,-0.9105022554479754,-0.7877395964617476,-0.8366802953316517,0,0,0,0.013445860384010742,0.015908614766264526,0.20871975716195362
1,dynamic,6,1678.3012528175657,4.392167643267577,-9.51404681951044,15.681059153902424,0.4134698180592728,0.6533935026542084,0.9286934543883988,0,0,0,0.013326782563265159,0.04288764281067715,0.02301775334074537
1,dynamic,7,1719.0804803324922,2.211593166692786,10.55756530561166,10.84801639041325,-0.1808081917759982,-0.04824979683741606,-0.5730001645012128,0,0,0,0.023224410443851547,0.0713921067825282,0.056109953730393125
1,dynamic,8,1674.9914246422786,1.1726306430695774,1.978691915540594,4.634423026653849,-0.5032633415772378,-0.18294882206134797,-0.13107239088684733,0,0,0,0.007496642104206447,0.003738792554126274,0.011446502558680119
1,dynamic,9,1766.1555886612746,7.810860015740525,22.471677335307504,23.118683280500363,-0.9400985800718087,-0.9023905226823471,-0.9071524527344571,0,0,0,0.0072876274972127385,0.005498354703269608,0.012990135560382643
1,dynamic,10,1791.5311059377225,7.6935193627096075,11.704621551058153,27.42007043369904,-0.7320583012138275,-0.4108100290270034,-0.642896306225764,0,0,0,0.01511343026256125,0.0150090301289934,0.03484324456346396
1,dynamic,11,1734.3589181617872,8.176138230072626,-13.923841922488691,29.420357460786818,-0.12703900985520064,-0.011031221674670508,0.36440793917332137,0,0,0,0.015641474840237563,0.02459740211412253,0.013867571069751623
1,dynamic,12,1759.225673476573,2.2328453582245533,5.2623607522871225,9.200203130146747,-0.6776846623710185,-0.6641938905234925,-0.5643676802835561,0,0,0,0.022134158784814093,0.020758184465189816,0.006997440119340637
1,dynamic,13,1726.0902243512312,1.7818431290420267,6.834725677522329,6.848820812155736,-0.5958932771612607,-0.8513959293451909,-0.7005240077245859,0,0,0,0.012478703433485576,0.015645371399861586,0.009895458824693611
1,dynamic,14,1887.5939418185708,1.088893010535733,-0.6242667032579448,3.6649594465170594,-0.5718395885420567,-0.2693238195700405,0.0023866865018410816,0,0,0,0.00546827771381404,0.004749399893565786,0.007567388767440827
1,dynamic,15,1718.4825745533556,16.36608128550732,46.38877637739347,58.272039945484494,-0.8381610044928146,-0.7003650586174844,-0.8450274821810756,0,0,0,0.038772513985889746,0.047546198538211265,0.03624785231614012
1,dynamic,16,1757.358186871297,6.7606216883458465,19.44949382044956,19.53011604267158,-0.9698663834087611,-0.9809834692865604,-0.9835905862004375,0,0,0,0.01722059514066557,0.026162215522869826,0.020825298124861776
1,dynamic,17,1742.331504306087,20.46890409522008,52.42694075603822,73.069056245188,-0.8013809264149852,-0.7081468816649349,-0.6845659731966144,0,0,0,0.02207856145974368,0.018252347980382635,0.018436338250564288
1,dynamic,18,1817.196935423265,4.5541140826865005,-12.586517425548664,12.957824999996319,0.8075421951840839,0.9330896922000087,0.9148864721636357,0,0,0,0.0074314562539405235,0.011669701039922058,0.0031827939165079426
1,dynamic,19,1797.294754012083,8.376015887701362,24.103652316884563,24.270358738701816,-0.9820256554234377,-0.8574977845800185,-0.9616051741148541,0,0,0,0.01174384215506518,0.01088531799670665,0.023617968138136367
2,dynamic,0,1705.4485908586864,4.6846820677933625,-15.273526591387508,15.427537508450087,0.7887079350879264,-0.7401640797611202,0.831674825947499,0,0,0,0.033043984328844436,0.010407431297055594,0.04593696016767764
2,dynamic,1,1728.925570803412,7.4141299811013655,-17.1948613513116,32.24854833211316,-0.27866158610982694,0.25536066720996664,-0.21417295050549817,0,0,0,0.10736299095822902,0.011324049092267557,0.07840616359737074
2,dynamic,2,1717.1822142923784,3.228900348970403,-8.263361916219765,14.112081966197138,-0.14553868107777515,0.14316843910095506,-0.04106246805898759,0,0,0,0.02443946298301427,0.00902103730445636,0.07844723730017646
2,dynamic,3,1718.207978928876,16.0063746600149,20.031945653060802,41.949787599614865,-0.9674653550213508,0.9186839898770842,-0.9150589131084966,0,0,0,0.10577874915201199,0.008953779391096811,0.1859897655469162
2,dynamic,4,1724.1019900048495,7.05035446324103,23.776399840014392,23.776399840014392,-0.9264325258428389,0.9326227870449256,-0.8889733827073251,0,0,0,0.012848049201091852,0.006473751711295074,0.010495354605634291
