motif_id,pattern_type,instance_idx,density_mean,density_std,density_change,density_range,ore_correlation,watermill_correlation,waterzumpf_correlation,ore_lag,watermill_lag,waterzumpf_lag,ore_cv,watermill_cv,waterzumpf_cv
1,inverse,0,1675.137224593297,1.0459778524906878,0.0646651659744748,3.6583090556459865,-0.28896487794231357,0.23286477451450596,0.12753094932825745,0,0,0,0.006143369202470856,0.0031968347811698918,0.011059727223754819
1,inverse,1,1667.8175688579713,4.510254164000225,-8.823513504595667,12.84793416748198,0.6871885122013903,0.7413888205907057,0.5873203869040736,0,0,0,0.005168653761508671,0.006462449746062502,0.008480751863466378
1,inverse,2,1680.6430793760205,4.172657140522975,7.105175709566538,13.940923058882845,-0.7302766676003807,-0.8492169321627999,-0.8549151568689264,0,0,0,0.0007679844251787521,0.009939571424819722,0.015021366012326759
1,inverse,3,1719.8682727150276,0.6969697602587601,0.41620340859481075,2.4787576542503302,0.27729119820403786,-0.09441176370259047,0.45271092158203896,0,0,0,0.0009756887189540473,0.00443949931108741,0.011668542554506651
1,inverse,4,1687.6889381942897,1.6938703834514255,6.448502244512611,7.621686821534013,-0.22934615129426292,-0.6390965206289485,-0.23057977102576205,0,0,0,0.0018531822384148524,0.0007745731239225376,0.003072931127179219
1,inverse,5,1675.4067240363927,1.1477128043138463,0.1702415098700385,3.8209935647055318,0.7577108082028384,0.5398983781231026,0.5675224184843312,0,0,0,0.0007076994869817817,0.002346375235981744,0.00696945507457603
1,inverse,6,1686.3562742195581,0.33665449374936823,-0.41519394770466533,1.624990681294321,0.8178840517693802,0.8588469228424322,0.7956946990104403,0,0,0,0.00010039110696109,0.0012574970125903892,0.0043601679137631605
1,inverse,7,1686.6389901728262,4.79474499819536,-4.675606980639714,14.51172411194625,0.35224573821940364,0.7493470412676969,-0.01462608399359814,0,0,0,0.004743376645744678,0.002514251388493797,0.00682293393625947
1,inverse,8,1681.6452616399647,3.718475319660093,10.465851183444329,11.028246701084527,-0.7530457467613645,-0.8973870832366111,-0.8083820144068504,0,0,0,0.000721595184216536,0.003598279666587221,0.005046594996856372
1,inverse,9,1796.6515852218226,1.824203351863676,-6.3787614959542225,7.478451731191399,0.7317661401135104,0.5285863265172738,0.8516625105894307,0,0,0,0.0011129702410974161,0.001025547304179086,0.003958983041594076
1,inverse,10,1636.6114461219775,1.507060611283806,-1.7904958025947053,5.122965754445659,0.3339929634889647,0.9674658946257545,0.2844736740882277,0,0,0,0.0006861635761523476,0.0022625242336270944,0.00605726200991787
2,inverse,0,1663.6971076470327,1.6262259829478973,5.772813315979647,8.166079303410243,-0.08182189643540975,0.1785315377281657,0.018285344061428798,0,0,0,0.008242012478890177,0.005850312880570059,0.011949232699436386
2,inverse,1,1670.7206762071494,1.9158587761589925,4.407323462831073,7.039250082159924,-0.89049585258925,-0.7138436194257993,0.822881506839078,0,0,0,0.00041785081387938993,0.0009167760801869218,0.004508512574312999
2,inverse,2,1743.06242190554,2.9661715575850143,-5.053087217324901,10.330864678855278,0.7404095724892198,0.7856351380693746,-0.7586465427571658,0,0,0,0.004028393049309917,0.001964511008053115,0.005043775780364184
2,inverse,3,1680.829566523712,3.112881938492119,8.47347306224924,10.120011132419222,-0.756373780133897,-0.8694165388035312,0.3723634347939325,0,0,0,0.0002266787673085689,0.0019840116035117665,0.004805110305761451
2,inverse,4,1750.6483250063543,4.121255391415603,-16.468078272175717,16.49495870695864,0.6369596651733604,0.8306772616950625,-0.6880777380500194,0,0,0,0.0006553850519754482,0.004350275128461755,0.010049763932643977
2,inverse,5,1677.6292382392292,5.7435535368028585,13.84711936868257,16.9104005367426,-0.32278375082772465,-0.782525846358862,0.4521343843118181,0,0,0,0.0003831800291805907,0.001462299513174796,0.005271899120531611
2,inverse,6,1699.3417941728537,4.770119385592132,-11.42474669755461,14.255590548296823,0.6885609210349303,0.6010686177312535,-0.9614925069119742,0,0,0,0.0034760463364920053,0.007238827245438008,0.012609893644736352
2,inverse,7,1693.9623681534592,6.1821394300801575,-16.721911487641137,17.820965423734606,0.3533894326343753,0.9585098924159284,-0.8891083304357642,0,0,0,0.0004832134135002045,0.002988426004223231,0.00692695039676045
3,inverse,0,1696.811117257026,6.860784494986852,-21.79613325413129,22.23393707241462,-0.7451782554364245,-0.945198042810673,-0.7948778300191665,0,0,0,0.004661705852124595,0.004914121921054593,0.0060845095743499705
3,inverse,1,1702.9291306785901,1.1739181425312917,0.5264854104771075,3.5128358379542988,0.32614795037026856,0.44336869431046744,0.6187013763991831,0,0,0,0.003977123125447925,0.004371804687837438,0.014155229314556022
3,inverse,2,1687.1205797571633,1.2613559452327638,1.0360144014057369,4.378109940810646,-0.4840332606574419,-0.12376825450478642,-0.6287252923810599,0,0,0,0.0026963896156940717,0.0022661929715708977,0.011976692235407958
3,inverse,3,1671.5891519117906,1.0308242023276348,0.09083386990209874,3.8374810931375123,0.3836157489786559,0.0788644610998771,0.5366842707956911,0,0,0,0.0008481138343319888,0.003206708321128423,0.004323470811209568
3,inverse,4,1790.659203404101,2.7855073567516713,10.29885992532354,10.486708410172241,0.6751726890001392,0.9601807785450225,0.878358832020679,0,0,0,0.0025764665544861474,0.002201913021251278,0.0032790819726378003
3,inverse,5,1681.9336088303555,1.4074577578137895,-4.1339260337240376,4.601451444473241,-0.9651827638212302,-0.7899854954005046,-0.9728768832703231,0,0,0,0.006620444945602866,0.00996819670752252,0.015212619399813282
3,inverse,6,1678.0433146935693,2.3440235932244886,-4.747820414491116,10.456926900760664,-0.7631367815184357,-0.8226451917546691,-0.6977871757389111,0,0,0,0.005084884989999052,0.009904931575678549,0.016742626852541784
3,inverse,7,1678.3203439992383,6.5432125642426024,-21.97418358971595,24.021501575159164,-0.6485865320742036,-0.7263834030273808,-0.7431982179759131,0,0,0,0.000962567951235668,0.0023745697427052076,0.005830514380015462
3,inverse,8,1688.9109829417664,3.3877267136486338,12.780632162556458,13.114846973307749,0.8031107679811038,0.48220257527194843,0.9347692554585116,0,0,0,0.002339042364433395,0.0058777843993465485,0.007844094998122244
3,inverse,9,1692.419589655593,3.412694450703736,-9.36243715680348,10.093115633895422,-0.6722298322318188,-0.841858740859626,-0.9871032275458499,0,0,0,0.0005005244135910145,0.003559710802157804,0.01453686823109537
3,inverse,10,1678.952043820841,2.403205601989416,-5.908419653448618,10.855373469166352,-0.4349299808743145,0.2516100581627909,-0.6805943380243461,0,0,0,0.004065010693191164,0.0039413660422529815,0.005751410819486417
3,inverse,11,1669.6532120665543,2.1234295463288255,-4.90200142967069,7.14383530134819,0.0968793259431323,-0.9346618429251748,-0.5493297822137672,0,0,0,0.0006566444300995524,0.0020761530470019955,0.0029542769661582793
4,inverse,0,1687.6347928752023,3.956107465252716,-5.799404085888455,11.312682117144732,-0.8886224613080279,-0.6379318371766701,-0.9248188111272535,0,0,0,0.005437576886852969,0.009990556843769111,0.01979900702902052
4,inverse,1,1669.5891659510062,3.974296789218439,-6.6606346513049175,11.113483080686137,-0.8656422057412585,-0.7149055212388342,-0.8957098222797333,0,0,0,0.004654509990397255,0.003158037657739504,0.005601988033072552
4,inverse,2,1671.5880388096768,1.4935863884295908,-5.526205961804635,5.526205961804635,-0.8473803326599106,-0.6869586444611657,-0.8397878743337164,0,0,0,0.0008948308818941822,0.004646537623968387,0.006068755523019342
4,inverse,3,1639.8259959141496,1.3327356271801976,3.832045659484038,4.7211480224625575,0.9042668573606587,0.733277370769465,0.6031787801244943,0,0,0,0.0009483192477412919,0.0034066599798160554,0.010395517329718683
5,inverse,0,1715.9803284119137,13.655827686735252,-39.699474028188206,40.00150846307679,0.8329058070351417,0.7710247892551227,0.9434927149886889,0,0,0,0.004212220596629257,0.009980538579918095,0.014912872344810313
5,inverse,1,1717.3535388990554,3.958647545242124,-10.001493951860994,13.062813670450623,0.455961048298059,0.608487718694244,0.7159496180929632,0,0,0,0.0007744269117937122,0.0010832069466049402,0.0032958276038810687
