motif_id,pattern_type,instance_idx,start,end,length,distance,meta_pattern_type,meta_waterzumpf_cv,meta_ore_cv,meta_watermill_cv,meta_psi200_cv
6,mv,6,158337,158397,60,1.8164438038870327,mv,,,,
6,mv,7,81127,81187,60,1.832825705555841,mv,,,,
6,mv,8,24746,24806,60,1.9255442321276928,mv,,,,
6,mv,9,81817,81877,60,2.069568290130498,mv,,,,
6,mv,10,236984,237044,60,2.0827324148070185,mv,,,,
6,mv,11,59009,59069,60,2.0998584168368883,mv,,,,
6,mv,12,215113,215173,60,2.1729094238308027,mv,,,,
6,mv,13,116924,116984,60,2.2047970594805313,mv,,,,
6,mv,14,161608,161668,60,2.2051090367789166,mv,,,,
6,mv,15,226148,226208,60,2.2229156863277666,mv,,,,
6,mv,16,64616,64676,60,2.2723684978973226,mv,,,,
6,mv,17,173983,174043,60,2.2827104108935554,mv,,,,
6,mv,18,166513,166573,60,2.2858118655876405,mv,,,,
6,mv,19,28301,28361,60,2.3401705239470885,mv,,,,
7,mv,0,154573,154633,60,1.3328003749250113e-07,mv,,,,
7,mv,1,203264,203324,60,0.8899284242030555,mv,,,,
7,mv,2,221304,221364,60,1.4194982203534943,mv,,,,
7,mv,3,70109,70169,60,1.7121028564801863,mv,,,,
7,mv,4,330085,330145,60,2.2481964292766485,mv,,,,
7,mv,5,310082,310142,60,2.328050794375155,mv,,,,
7,mv,6,173815,173875,60,2.344615352118558,mv,,,,
7,mv,7,111117,111177,60,2.4808415521977696,mv,,,,
7,mv,8,260375,260435,60,2.4921395493714007,mv,,,,
7,mv,9,280072,280132,60,2.507473805704396,mv,,,,
7,mv,10,253409,253469,60,2.6077991698425964,mv,,,,
7,mv,11,254863,254923,60,2.6943116371762414,mv,,,,
7,mv,12,296772,296832,60,2.719321348660131,mv,,,,
7,mv,13,281709,281769,60,2.786385602483394,mv,,,,
7,mv,14,281486,281546,60,2.9242109011283843,mv,,,,
7,mv,15,159866,159926,60,2.9437793698392634,mv,,,,
7,mv,16,248248,248308,60,2.9801089889650125,mv,,,,
7,mv,17,14484,14544,60,3.027296444505228,mv,,,,
7,mv,18,304623,304683,60,3.125553614272344,mv,,,,
7,mv,19,243784,243844,60,3.128155344462866,mv,,,,
8,mv,0,38108,38168,60,0.0,mv,,,,
8,mv,1,68746,68806,60,1.0764970989536748,mv,,,,
8,mv,2,185080,185140,60,1.687600917590869,mv,,,,
8,mv,3,11494,11554,60,1.7185474122706081,mv,,,,
8,mv,4,160969,161029,60,2.33642170630113,mv,,,,
8,mv,5,160056,160116,60,2.8373952356141423,mv,,,,
