motif_id,pattern_type,instance_idx,density_mean,density_std,density_change,density_range,ore_correlation,watermill_correlation,waterzumpf_correlation,ore_lag,watermill_lag,waterzumpf_lag,ore_cv,watermill_cv,waterzumpf_cv,psi200_cv
1,steady_state,0,1652.4534036505418,1.6331975836389228,-5.266135535273634,7.053425084676292,-0.7312560917082406,-0.5414885450052084,-0.6270618623983197,0,0,0,0.0024514399118033105,0.004165228276020976,0.004504518158901249,0.0
1,steady_state,1,1663.7573720981927,4.0631413669925225,7.914904905828507,11.444616064198954,0.9192379740123421,0.959634414430832,0.9468691631375713,0,0,0,0.006892307843118704,0.01036113272950732,0.006337887049991303,0.0
1,steady_state,2,1623.2787530560931,2.31131623483273,3.7449117623893926,8.703587853014596,0.44423967078380683,0.46144318104095494,0.5245400324436037,0,0,0,0.003954967579424427,0.005762483854325207,0.00598518096704151,0.0
1,steady_state,3,1664.5331852313222,3.5212850580910326,10.44710638928791,11.658563949190466,0.9252590752141651,0.9594007141758308,0.9671601795597901,0,0,0,0.002539446016313786,0.00674548652003228,0.006155762906845083,0.0
1,steady_state,4,1682.4362544997082,1.1791984764073353,0.668161951850152,4.658418610628814,-0.45055106151754987,-0.05762731020088712,-0.14644615439504843,0,0,0,0.002922862414546005,0.0064044067423021794,0.005594657379652891,0.0
1,steady_state,5,1654.0161054013788,6.20935653417354,-17.330851659517975,18.795581473604443,-0.680039153791221,-0.9072263170165891,-0.9290247587946768,0,0,0,0.004353913811107168,0.007485513194395072,0.00575446698670698,0.0
1,steady_state,6,1698.2668052736783,2.499595680694643,-9.043626862818655,10.419961027791032,-0.7715874051859875,-0.6826616533043591,-0.4997184136420647,0,0,0,0.0015638361301765498,0.008309487057087306,0.0038813295171162966,0.0
1,steady_state,7,1674.8943697721506,1.8485929783503274,5.960683876809526,6.207776120317703,0.8236307249044079,0.7675208283807423,0.6253271980184342,0,0,0,0.01260046375270458,0.008978461563404108,0.002632468818255365,0.0
1,steady_state,8,1691.196654380172,2.385159472669616,-2.4085658048336427,8.914790090982024,-0.18478546039287802,0.010099008094012762,-0.11972973740465845,0,0,0,0.0029121626073673745,0.005494996710232533,0.0020519395479271924,0.0
1,steady_state,9,1658.0641213653819,2.758989839830824,-9.947651951953503,10.04264762294929,-0.6430740075104486,-0.872567016376499,-0.8395418537308121,0,0,0,0.0021837552065200033,0.0037080752476701825,0.006770711244198039,0.0
1,steady_state,10,1643.8735859636913,2.513832330566276,7.511455447809112,7.954084436658604,0.7217499951199783,0.800329784165267,0.8022155404190549,0,0,0,0.0020758591694863475,0.004792533087733205,0.007225397810588526,0.0
1,steady_state,11,1733.2971034948498,4.093208292466263,8.38533841686467,10.675879505303328,0.9283419251038083,0.9046182752125056,0.9225997099471617,0,0,0,0.002888417483223835,0.004959363040083502,0.001585496694450921,0.0
1,steady_state,12,1657.3610215537765,2.3557574665660423,-6.194318807519949,7.568897012556818,-0.8411500282573577,-0.9132686110218492,-0.809362644713588,0,0,0,0.0021743210221840605,0.00863904640244845,0.0050504132781130735,0.0
1,steady_state,13,1669.6423612416227,3.3716670672214066,10.286138984976787,10.839625467732503,0.870700148914791,0.9240637664869088,0.8621142781780282,0,0,0,0.0018201244712284376,0.0038139533140739944,0.00628039100280581,0.0
1,steady_state,14,1744.9949329523088,1.889531440668903,-1.3358459738619786,5.875392426622966,-0.5514450678703915,-0.2417549497289926,-0.6584574121949462,0,0,0,0.007183144593975168,0.019846355397790085,0.006392006405308149,0.0
1,steady_state,15,1692.9103689743986,2.4386580997181144,-3.770122934139181,8.450244954821073,0.6777917563113196,0.6715933553077916,0.7338613838210454,0,0,0,0.0018182518335043078,0.01978071386827068,0.005743885161600831,0.0
1,steady_state,16,1672.2012839103631,1.4829401673722151,1.6536029841549862,5.124833234604239,0.7314354855569628,0.8881279923289751,0.7295947367715057,0,0,0,0.0015003702298396376,0.004645448255718805,0.0021313550468579027,0.0
1,steady_state,17,1658.7644575067893,4.834944681077798,-15.175744346421197,15.434037229514388,-0.7818381344927599,-0.9746629095531671,-0.9785838382832773,0,0,0,0.002030422177757612,0.009248217453354414,0.006498826804980951,0.0
1,steady_state,18,1666.33067344056,4.171736647330022,9.1556728625103,12.828836030560979,0.8269650456832052,0.801608686545626,0.9324791402883295,0,0,0,0.0024139434481714145,0.00546869095530581,0.0067689672798213665,0.0
1,steady_state,19,1666.4635542463811,5.360978106409912,13.879446531954272,14.445217492568645,0.7829753118160091,0.9644756764897471,0.8800633167286318,0,0,0,0.0015539975434190423,0.0070953888302816735,0.0032764932441591305,0.0
2,steady_state,0,1698.8378824008164,1.7971430561705648,-0.2127288220135597,5.521248966615076,0.6526045676399227,-0.7253238605986041,-0.8377695989435293,0,0,0,0.00180526246217399,0.0059524523812738974,0.005611639747688982,0.0
2,steady_state,1,1656.379025092494,7.631377657427859,-20.972996669672057,21.687317522122157,0.9271228810682836,-0.9474876638276812,-0.9586534151942531,0,0,0,0.014502666300550287,0.006526639509236638,0.00588474327503578,0.0
2,steady_state,2,1660.8592207376494,4.768266423371268,-12.176392872534507,14.20755044029056,0.8725803001810957,-0.9388259111510838,-0.9598576771613782,0,0,0,0.002986320969513838,0.005540966497796506,0.00631160193375075,0.0
2,steady_state,3,1704.4713718486753,2.4456155789514598,7.484126262588234,8.9282563168872,-0.47532705973509354,0.6315209022014076,0.6961297540208622,0,0,0,0.0006913766398475773,0.004713094533922214,0.00391095943617897,0.0
