motif_id,pattern_type,instance_idx,density_mean,density_std,density_change,density_range,ore_correlation,watermill_correlation,waterzumpf_correlation,ore_lag,watermill_lag,waterzumpf_lag,waterzumpf_cv,ore_cv,watermill_cv
1,density,0,1704.6362106159904,12.053853423923774,-44.330629151898165,44.330629151898165,0.893303992371841,0.9096709428753014,,0,0,0,3.76790834410309e-16,0.032499421461119,0.03502301460454432
1,density,1,1753.7005413014328,8.618021455957576,-23.434814620868565,29.695041188662344,0.4437076166799421,0.6775130381007433,,0,0,0,1.8707108161919305e-16,0.01236059899880232,0.01204111131527145
1,density,2,1747.2687914420762,4.75399902745671,7.879085080988261,13.297486230804225,-0.7407834577269206,-0.9385676999893466,,0,0,0,3.36754101712153e-16,0.0010737560753286655,0.0074055160350081405
1,density,3,1682.8722602356054,6.237829089485237,-21.794219689641068,25.326358861075278,0.05676066854513194,0.03361026258633891,0.2121724922256822,0,0,0,0.004180703783114772,0.02671259086351242,0.02979178306094107
1,density,4,1759.1509453938202,3.273253148823711,8.132433288183847,9.995865598893715,-0.949090723041996,-0.936916929242919,-0.9125282959191022,0,0,0,0.008084983121630822,0.01332917868953824,0.09511216376270414
1,density,5,1749.4929136564458,7.8317988661262605,26.276262579199965,26.276262579199965,-0.8978131382172905,-0.8815366865173911,-0.29510460855095466,0,0,0,0.0045335419330852856,0.009285349870397515,0.009745183479724905
1,density,6,1673.060316325177,2.300492512775849,-4.909501402358728,10.280372340188023,-0.5033178762579288,-0.4327188259081523,0.8978430513534269,0,0,0,0.0030521592948691842,0.02179969785928843,0.019313895836559118
2,density,0,1661.9111024739473,6.190721456729103,16.16096761593508,16.938162254901727,0.8437079009508971,0.9130230363486855,0.9029319535171134,0,0,0,0.008084912195493298,0.018168967950915424,0.01953708269004127
2,density,1,1738.180142693621,4.106231850970633,-13.519208690140431,13.519208690140431,-0.9169572668960545,-0.9300394197768613,-0.9290794622549763,0,0,0,0.0070526445948149675,0.009012988296456505,0.010420213273094659
2,density,2,1710.454827085184,8.895526884648541,-24.138867374300844,33.568667793587565,-0.6928720988389669,-0.6461343356947132,-0.7289647386909027,0,0,0,0.013563339827039594,0.01977360210872406,0.02111038725515219
2,density,3,1708.7159378368174,7.8838476477782615,-22.33380872939938,22.86022077682901,-0.9708966872359927,-0.9537170637675932,-0.9361216625883586,0,0,0,0.0038837196104173923,0.006222522334108118,0.006921948524061253
2,density,4,1693.5781266231622,1.2087104933442077,-3.693357199802904,4.261135533946572,-0.9412208665938213,-0.8732788956187486,-0.9464269819148327,0,0,0,0.004086660751932769,0.005044928342470107,0.0049306877043559785
2,density,5,1668.4446934841485,1.7861913922736254,2.795275669929879,6.920356212435308,-0.3776475302255443,-0.12215726371223395,-0.3483796384619451,0,0,0,0.005338554690360696,0.009493729608467255,0.009143726480793115
2,density,6,1682.8734169417876,1.1612530279674547,-1.0582965966325446,4.091279421061017,-0.7133987536825379,-0.6507732422821325,-0.6507524901325967,0,0,0,0.004205197835257381,0.006045711201249908,0.005719921602343396
2,density,7,1715.9516498605115,1.5116555640373783,4.311608023389226,4.6481731494911855,0.8863915028564802,0.8941827408509058,0.8538260354672041,0,0,0,0.003534841758174411,0.009477601974014763,0.010380596726203674
2,density,8,1686.5740353449785,4.313081888733817,-15.406351744083395,15.424165236146791,-0.8395178927075936,-0.875945789201543,-0.7758247920294956,0,0,0,0.003832569507612571,0.005667474362992022,0.004620968819252475
2,density,9,1681.2996775373433,1.1134521689048507,-1.3849321574275564,4.263765896702807,-0.20492913907648613,-0.3781423853489588,-0.15873553326692325,0,0,0,0.0021940490712434556,0.0059228263189658814,0.004111943199963676
2,density,10,1700.2041347495797,2.9565947040287424,6.864681064964998,8.026345780073598,0.8532945510645442,0.9530892240779214,0.8717217971300858,0,0,0,0.0016516003303954398,0.002413102985126517,0.018830004205715192
2,density,11,1651.8184296158718,4.7974415488223645,14.990951495570243,14.990951495570243,0.9143083917870888,0.8062220056364213,0.9552195017745165,0,0,0,0.002498066809584433,0.00593698689309815,0.004420876350322541
2,density,12,1641.8940734788928,4.370133386037307,14.522634857622734,14.522634857622734,0.6440114644054814,0.6986773360404491,0.8289710230726864,0,0,0,0.0005193619631765107,0.007675760387739647,0.0076235731976631044
2,density,13,1703.2170025195362,2.8284497372059936,7.4473142981180445,9.227863223967006,0.6576193601961116,0.60240457937003,0.6540052112140046,0,0,0,0.0008345796156898505,0.003593435684677223,0.004444511906652775
2,density,14,1660.2919284342715,3.5010546904182025,10.963260252079408,11.512302924797496,0.513969972661168,0.923376547489261,0.7764457474817289,0,0,0,0.00165867784987318,0.00918664159216032,0.0025625871802803656
2,density,15,1640.6209663069285,1.5760992872760995,-6.765348697802892,6.765348697802892,-0.8791065157596143,-0.8349659517861697,-0.5667721746947089,0,0,0,0.0002956898801247619,0.0051088805261305156,0.006318568573383688
2,density,16,1637.9931446090593,4.36229763227066,6.1507619456417615,13.185712867381199,0.7732932526129374,0.8159205290076663,0.6312014550294375,0,0,0,0.000444864507976588,0.014844839267722745,0.016139077333980963
2,density,17,1683.7604504139158,3.2829864414680343,11.252007869492672,11.332658162209327,0.9288194491620111,0.8591438580701687,0.6215519305184221,0,0,0,0.0009988835106166042,0.004801432821234888,0.002753432225488597
3,density,0,1725.932693206452,14.71245968463419,47.61657267662872,50.643023907677616,0.7989532797011869,0.7974870628940385,,0,0,0,1.8707108161919305e-16,0.02918262672717011,0.0269522617517935
