motif_id,num_points,pattern_type,Ore_mean,Ore_std,Ore_min,Ore_max,Ore_range,WaterMill_mean,WaterMill_std,WaterMill_min,WaterMill_max,WaterMill_range,WaterZumpf_mean,WaterZumpf_std,WaterZumpf_min,WaterZumpf_max,WaterZumpf_range,DensityHC_mean,DensityHC_std,DensityHC_min,DensityHC_max,DensityHC_range,PulpHC_mean,PulpHC_std,PulpHC_min,PulpHC_max,PulpHC_range,PressureHC_mean,PressureHC_std,PressureHC_min,PressureHC_max,PressureHC_range,CirculativeLoad_mean,CirculativeLoad_std,CirculativeLoad_min,CirculativeLoad_max,CirculativeLoad_range
30,480,density,168.9972816651263,7.156271160142596,158.12897914141413,185.42092714336346,27.291948001949322,13.927737095588357,1.373344092893291,12.174712426316717,17.200129227210944,5.025416800894227,214.67403154227796,22.75975578140881,171.42446666666666,243.4453957671958,72.02092910052914,1769.3995197415027,62.07192789979218,1681.2348752629941,1898.7118747674742,217.4769995044801,456.5247239345225,75.63195803549372,369.962452553422,599.0398658738865,229.07741332046447,0.34694976347004153,0.021333663286392895,0.3089881500330843,0.3780798490235291,0.06909169899044482,0.787694521941681,0.28818622359369667,0.4737789184150088,1.4448447040446586,0.9710657856296498
31,180,density,167.32042264128262,4.426115027963025,159.6998609757872,174.01664960825897,14.31678863247177,13.721464374702261,0.364729692095316,13.095842313181317,14.367361713335534,1.271519400154217,181.39993416105403,5.737236581270299,171.92498333333336,188.36145647509576,16.436473141762406,1762.8241340906993,18.377459957714873,1740.657349011594,1794.1008723459856,53.44352333439156,579.3765342606463,26.46461246927404,540.1144727392558,599.909174971794,59.79470223253816,0.35560697735289515,0.019481189788237045,0.3307779679721382,0.3878224973649539,0.05704452939281568,1.285232563637162,0.040518349908222354,1.2152621142438922,1.3502259371810543,0.13496382293716214
32,1200,density,169.9618749542458,4.891188189409456,155.38219999999998,180.0666954374057,24.68449543740573,13.770636891802894,1.699878369042479,10.303868478267301,17.186995462770515,6.883126984503214,212.0394273484555,18.89538122263289,184.308,256.4839090909091,72.1759090909091,1750.8020544811998,74.95563208245898,1642.1101455941675,1915.1417765920512,273.03163099788367,472.1277252082361,82.79769331514584,352.78697388048056,597.9392991419834,245.15232526150282,0.35813356884747966,0.03295749943024111,0.31025054838052196,0.4308950297675219,0.12064448138699996,0.8024007155041881,0.264808757168336,0.40314653471592315,1.3371571490550722,0.9340106143391491
33,480,density,172.82489343729023,9.74773506826931,142.07293505987477,185.46205828282828,43.389123222953515,15.552259978729511,1.8161483271330119,12.637220905316903,18.20167940855019,5.564458503233288,214.69310281428793,22.391760489081737,186.21654901960787,246.42043301587302,60.20388399626515,1704.4290698683988,26.55625118274549,1663.902520463631,1762.7641942203513,98.86167375672039,499.61797834139907,68.81365605838572,404.1291672838497,595.9003381442501,191.7711708604004,0.36210655463063934,0.03030543240088235,0.3003479411635656,0.4134353075975838,0.11308736643401818,0.8355088635931754,0.3100008654743047,0.36847158609945335,1.2302111226318795,0.8617395365324261
34,240,inverse,171.33205062012368,3.999078686679756,163.1336469023569,175.176595,12.042948097643091,0.0,0.0,0.0,0.0,0.0,213.15147676224854,10.174641873422809,200.2820227106227,228.63257083333332,28.35054812271062,1817.0341064891318,12.423454428746084,1795.532038500469,1832.4444054324895,36.912366932020404,394.2353757812494,9.309063958675685,376.7153294004195,407.4012841355429,30.685954735123403,0.3471218348893872,0.013595230550979597,0.3253773723827218,0.36804194234853876,0.04266456996581697,0.5793590453951332,0.030996616524802248,0.5245780636268518,0.6315174850471487,0.10693942142029689
35,1200,inverse,165.07151582140247,5.814074204157994,149.7879528027528,176.66871124457242,26.88075844181961,13.890827567742562,1.5106126213940894,11.592753747165533,18.096768573907195,6.5040148267416615,215.55150113387407,15.919631239874212,141.32364380273324,248.78228148148148,107.45863767874823,1743.98019230568,65.45514886976578,1667.7436456529215,1919.9668571895959,252.2232115366744,509.00121041140403,87.93930676619954,367.36819548345295,599.9695502517326,232.60135476827963,0.35637781825783965,0.022738482493920412,0.2895100373700374,0.4257065126441722,0.1361964752741348,0.9997851315904893,0.33171402726884974,0.47715449369884805,1.5321529561835048,1.0549984624846567
36,1200,inverse,163.0057649472352,5.041904255453013,155.99286666666666,175.0693209259259,19.076454259259236,12.804714716154288,1.3052105887248904,8.844641864635719,15.019733873517787,6.175092008882068,217.3477162649312,14.11580630581815,183.8573154701817,248.9405159879336,65.08320051775189,1710.2540488359577,59.95471576044312,1652.123919453103,1913.085275853478,260.9613564003748,500.8190642106768,89.84179389495813,353.9551931249462,594.0278486482216,240.0726555232754,0.3592067688589562,0.018414192436523487,0.30898266010992614,0.39571168277871915,0.08672902266879301,0.9409101855543351,0.34124357332182476,0.3877433176915481,1.3723318929756132,0.9845885752840651
37,120,inverse,169.3611155815765,2.0402568289808225,166.8189165079365,172.07281818181815,5.253901673881643,14.512297242756995,2.561477914174452,11.905780837945228,17.318008115536625,5.412227277591397,212.09811897516894,12.823818848893211,198.15833333333333,228.32099190476188,30.16265857142855,1820.360831158924,94.27124777431423,1720.9737789701528,1919.8373956512883,198.86361668113545,491.856770516036,104.0622814212819,383.9000434739029,598.7595644767996,214.8595210028967,0.36736651370628626,0.007813635198981024,0.3561148971300567,0.3774799909752084,0.021365093845151728,0.9670425735719788,0.3095775956295384,0.6212552821237318,1.29623148975939,0.6749762076356582
38,1200,inverse,165.11689207844339,5.63964133634443,149.80154505494508,175.46619055555553,25.664645500610447,13.49715341822775,1.44013253977131,10.056138046466883,16.102302038347112,6.0461639918802295,211.7746776328629,23.89941244025838,173.5481997883598,259.89605178603074,86.34785199767094,1769.6170304986601,65.6349482776874,1636.3911513747692,1889.2943716369834,252.9032202622143,463.6683754880772,78.86566994316759,356.26613167169296,584.520003610217,228.25387193852407,0.34936253008705764,0.036053409618212885,0.2937935259130906,0.4712155511286341,0.1774220252155435,0.8545988349849832,0.28903436786619663,0.4405540782786342,1.4784697217225007,1.0379156434438666
39,1200,inverse,168.56172153282262,5.08254827582812,159.68864572390572,182.3908869708995,22.702241246993765,14.150303983312044,2.0709931744362646,11.129647571902165,18.28520036944779,7.155552797545624,214.1451093009181,15.729694063616947,183.534,248.21050210667153,64.67650210667153,1741.5858666038425,79.45861077539908,1667.4368110917417,1900.194063229039,232.75725213729743,486.5534754220431,88.47051972783757,352.0498486799288,589.8238905567393,237.77404187681054,0.3677012961482297,0.0322334497765201,0.32260103823547576,0.4720889485493194,0.14948791031384362,0.8565555803028262,0.2742248896334403,0.36863564541005145,1.2706704978917376,0.9020348524816861
