TimeStamp,Ore,WaterMill,WaterZumpf,Power,ZumpfLevel,PressureHC,DensityHC,FE,PulpHC,PumpRPM,MotorAmp,PSI80,PSI200,id,Date,Shift,Class_15,Class_12,Grano,Daiki,Shisti,Original_Sheet,mill_id,motif_id,segment_start,segment_end,motif_distance
2025-10-09 10:02:00,165.247,12.6259,209.2355,1958.9281395348837,1548.503,0.33206451612903226,1686.214705882353,3.137,563.8842173913043,705.351,185.3775,51.4,23.7,844,,1,1.7,6.6,0.578,0.318,0.104,,8,1,66938,66998,0.0
2025-10-09 10:03:00,165.247,12.6259,209.2355,1958.9281395348837,1548.503,0.33206451612903226,1686.214705882353,3.137,563.8842173913043,705.351,185.3775,51.4,23.7,844,,1,1.7,6.6,0.578,0.318,0.104,,8,1,66938,66998,0.0
2025-10-09 10:04:00,165.247,12.6259,209.2355,1958.9281395348837,1548.503,0.33206451612903226,1686.214705882353,3.137,563.8842173913043,705.351,185.3775,51.4,23.7,844,,1,1.7,6.6,0.578,0.318,0.104,,8,1,66938,66998,0.0
2025-10-09 10:05:00,165.247,12.6259,209.2355,1958.9281395348837,1548.503,0.33206451612903226,1686.214705882353,3.137,563.8842173913043,705.351,185.3775,51.4,23.7,844,,1,1.7,6.6,0.578,0.318,0.104,,8,1,66938,66998,0.0
2025-10-09 10:06:00,165.247,12.6259,209.2355,1958.9281395348837,1548.503,0.33206451612903226,1686.214705882353,3.137,563.8842173913043,705.351,185.3775,51.4,23.7,844,,1,1.7,6.6,0.578,0.318,0.104,,8,1,66938,66998,0.0
2025-10-09 10:07:00,165.247,12.6259,209.2355,1958.9281395348837,1548.503,0.33206451612903226,1686.214705882353,3.137,563.8842173913043,705.351,185.3775,51.4,23.7,844,,1,1.7,6.6,0.578,0.318,0.104,,8,1,66938,66998,0.0
2025-10-09 10:08:00,165.247,12.6259,209.2355,1958.9281395348837,1548.503,0.33206451612903226,1686.214705882353,3.137,563.8842173913043,705.351,185.3775,51.4,23.7,844,,1,1.7,6.6,0.578,0.318,0.104,,8,1,66938,66998,0.0
2025-10-09 10:09:00,165.247,12.6259,209.2355,1958.9281395348837,1548.503,0.33206451612903226,1686.214705882353,3.137,563.8842173913043,705.351,185.3775,51.4,23.7,844,,1,1.7,6.6,0.578,0.318,0.104,,8,1,66938,66998,0.0
2025-10-09 10:10:00,165.247,12.6259,209.2355,1958.9281395348837,1548.503,0.33206451612903226,1686.214705882353,3.137,563.8842173913043,705.351,185.3775,51.4,23.7,844,,1,1.7,6.6,0.578,0.318,0.104,,8,1,66938,66998,0.0
2025-10-09 10:11:00,165.247,12.6259,209.2355,1958.9281395348837,1548.503,0.33206451612903226,1686.214705882353,3.137,563.8842173913043,705.351,185.3775,51.4,23.7,844,,1,1.7,6.6,0.578,0.318,0.104,,8,1,66938,66998,0.0
2025-10-09 10:12:00,165.247,12.6259,209.2355,1958.9281395348837,1548.503,0.33206451612903226,1686.214705882353,3.137,563.8842173913043,705.351,185.3775,51.4,23.7,844,,1,1.7,6.6,0.578,0.318,0.104,,8,1,66938,66998,0.0
2025-10-09 10:13:00,165.247,12.6259,209.2355,1958.9281395348837,1548.503,0.33206451612903226,1686.214705882353,3.137,563.8842173913043,705.351,185.3775,51.4,23.7,844,,1,1.7,6.6,0.578,0.318,0.104,,8,1,66938,66998,0.0
2025-10-09 10:14:00,165.247,12.6259,209.2355,1958.9281395348837,1548.503,0.33206451612903226,1686.214705882353,3.137,563.8842173913043,705.351,185.3775,51.4,23.7,844,,1,1.7,6.6,0.578,0.318,0.104,,8,1,66938,66998,0.0
2025-10-09 10:15:00,165.247,12.6259,209.2355,1958.9281395348837,1548.503,0.33206451612903226,1686.214705882353,3.137,563.8842173913043,705.351,185.3775,51.4,23.7,844,,1,1.7,6.6,0.578,0.318,0.104,,8,1,66938,66998,0.0
2025-10-09 10:16:00,165.247,12.6259,209.2355,1958.9281395348837,1548.503,0.33206451612903226,1686.214705882353,3.137,563.8842173913043,705.351,185.3775,51.4,23.7,844,,1,1.7,6.6,0.578,0.318,0.104,,8,1,66938,66998,0.0
