motif_id,num_instances,avg_distance,WaterZumpf_vs_PulpHC,WaterZumpf_vs_PressureHC
1,3,0.0,,
2,13,3.5745338074025916,,
3,13,4.414549630279772,,
4,44,4.012503141562947,,
5,43,4.377038320343846,,
6,45,4.218765761373365,,
7,71,4.086514016084053,,
8,22,4.274272954566262,,
9,66,4.094671029921547,,
10,16,4.7605106473469485,,
11,20,4.2795838489991835,,
12,5,3.903244316867581,,
13,11,4.126429812915772,,
14,24,4.317550230276436,,
15,12,4.736740004230163,,
16,18,4.470548738943883,,
17,29,4.328967027257044,,
18,29,4.4558176945767345,,
19,1,1.10761488245392,,
20,2,2.464822719747699,,
